Code	File	Line	Column	Kind
                role: me?.role || storage.getItem("role"),	D:\Rutba\ERP\packages\pos-shared\context\AuthContext.js	163	42	
            setAdminAppAccess(storage.getJSON("adminAppAccess") || []);	D:\Rutba\ERP\packages\pos-shared\context\AuthContext.js	130	38	
            setAppAccess(storage.getJSON("appAccess") || []);	D:\Rutba\ERP\packages\pos-shared\context\AuthContext.js	129	33	
            setPermissions(storage.getJSON("permissions") || []);	D:\Rutba\ERP\packages\pos-shared\context\AuthContext.js	131	35	
            setRole(storage.getItem("role"));	D:\Rutba\ERP\packages\pos-shared\context\AuthContext.js	128	28	
            setSessionTimeout(parseInt(storage.getItem("sessionTimeout"), 10) || 60);	D:\Rutba\ERP\packages\pos-shared\context\AuthContext.js	132	47	
    const stored = storage.getJSON("cart") ??[];	D:\Rutba\ERP\packages\pos-shared\context\CartContext.js	11	27	
            const rawPrint = localStorage.getItem("invoice-print-settings");	D:\Rutba\ERP\packages\pos-shared\context\UtilContext.js	58	42	
                const response = await authApi.get(`/branches/${branch.documentId}?populate[0]=desks&populate[1]=currency`);	D:\Rutba\ERP\packages\pos-shared\context\UtilContext.js	74	47	
            const storedBranch = localStorage.getItem("branch");	D:\Rutba\ERP\packages\pos-shared\context\UtilContext.js	48	46	
            const storedDesk = localStorage.getItem("branch-desk");	D:\Rutba\ERP\packages\pos-shared\context\UtilContext.js	49	44	
            setCashRegisterState(storage.getJSON("cash-register") ?? null);	D:\Rutba\ERP\packages\pos-shared\context\UtilContext.js	56	41	
            setCurrencyState(storage.getJSON("currency") ?? 'Rs');	D:\Rutba\ERP\packages\pos-shared\context\UtilContext.js	53	37	
            setLabelSizeState(storage.getJSON("label-size") ?? '2.4x1.5');	D:\Rutba\ERP\packages\pos-shared\context\UtilContext.js	54	38	
            setPrintModeState(storage.getJSON("print-mode") ?? 'thermal');	D:\Rutba\ERP\packages\pos-shared\context\UtilContext.js	55	38	
            setUserState(storage.getJSON("user") ?? null);	D:\Rutba\ERP\packages\pos-shared\context\UtilContext.js	52	33	
        this.sale_date = Date.parse(sale_date) > new Date(1, 1, 2025).getTime() ? new Date(sale_date) : new Date();	D:\Rutba\ERP\packages\pos-shared\domain\sale\SaleModel.js	43	70	
    const jwt = storage.getItem('jwt');	D:\Rutba\ERP\packages\pos-shared\lib\api.js	282	24	
            const refreshToken = storage.getItem('refreshToken');	D:\Rutba\ERP\packages\pos-shared\lib\api.js	85	41	
        const res = await axios.get(`${API_URL}${path}?${query}`, {	D:\Rutba\ERP\packages\pos-shared\lib\api.js	126	32	
    const res = await axios.get(querify(`${API_URL}${path}${query}`, data), {	D:\Rutba\ERP\packages\pos-shared\lib\api.js	110	28	
    const res = await axios.get(querify(`${API_URL}${path}`, data), {	D:\Rutba\ERP\packages\pos-shared\lib\api.js	147	28	
try { _adminMode = localStorage.getItem('adminMode') === '1'; } catch (_) {}	D:\Rutba\ERP\packages\pos-shared\lib\api.js	23	32	
 *   api.get("/branches?populate[0]=desks&populate[1]=currency")	D:\Rutba\ERP\packages\pos-shared\lib\endpoints\branches.js	6	9	
     * Replaces authApi.get(`/products/${id}`, query) in loadProduct().	D:\Rutba\ERP\packages\pos-shared\lib\endpoints\products.js	158	24	
).replace("|tag","").getRegex()},Me=/^\\([!"#$%&'()*+,\-./:;<=>?@\[\]\\^_`{|}~])/,ze=/^(`+)([^`]|[^`][\s\S]*?[^`])\1(?!`)/,oe=/^( {2,}|\\)\n(?!\s*$)/,Ae=/^(`+|[^`])(?:(?= {2,}\n)|[\s\S]*?(?:(?=[\\<!\[	D:\Rutba\ERP\packages\pos-shared\lib\marked.esm.js	14	161	
place(/\|table/g,"").getRegex(),Oe=k(re).replace(/bull/g,N).replace(/blockCode/g,/(?: {4}| {0,3}\t)/).replace(/fences/g,/ {0,3}(?:`{3,}|~{3,})/).replace(/blockquote/g,/ {0,3}>/).replace(/heading/g,/ {	D:\Rutba\ERP\packages\pos-shared\lib\marked.esm.js	13	3230	
s,Z(d.defaults),d};d.getDefaults=L;d.defaults=T;d.use=function(...u){return _.use(...u),d.defaults=_.defaults,Z(d.defaults),d};d.walkTokens=function(u,e){return _.walkTokens(u,e)};d.parseInline=_.pars	D:\Rutba\ERP\packages\pos-shared\lib\marked.esm.js	71	347	
                const excRes = await authApi.get(excEp.path, excEp.params);	D:\Rutba\ERP\packages\pos-shared\lib\pos\fetchs.js	63	45	
    const res = await authApi.get(ep.path, ep.params);	D:\Rutba\ERP\packages\pos-shared\lib\pos\fetchs.js	80	30	
    let res = await authApi.get(byIdEp.path, byIdEp.params);	D:\Rutba\ERP\packages\pos-shared\lib\pos\fetchs.js	119	28	
    res = await authApi.get(byIdEp.path, byIdEp.params);	D:\Rutba\ERP\packages\pos-shared\lib\pos\fetchs.js	44	24	
        return await authApi.get(ep.path, ep.params);	D:\Rutba\ERP\packages\pos-shared\lib\pos\fetchs.js	102	29	
    return await authApi.get(ep.path, ep.params);	D:\Rutba\ERP\packages\pos-shared\lib\pos\fetchs.js	114	25	
    const res = await authApi.get(`/stock-items?filters[barcode][$eq]=${barcode}`);	D:\Rutba\ERP\packages\pos-shared\lib\pos\search.js	97	30	
    const res = await authApi.get(`/stock-items?filters[name][$containsi]=${searchTerm}`);	D:\Rutba\ERP\packages\pos-shared\lib\pos\search.js	91	30	
            const data = localStorage.getItem(key);	D:\Rutba\ERP\packages\pos-shared\lib\printStorage.js	19	38	
                map.get(key).more.push(value);	D:\Rutba\ERP\packages\pos-shared\lib\saleApi.js	39	20	
            const item = getStore().getItem(key);	D:\Rutba\ERP\packages\pos-shared\lib\storage.js	69	36	
            const item = getStore().getItem(key);	D:\Rutba\ERP\packages\pos-shared\lib\storage.js	75	36	
                    const val = prev.getItem(key);	D:\Rutba\ERP\packages\pos-shared\lib\storage.js	34	37	
        if (localStorage.getItem('jwt')) return localStorage;	D:\Rutba\ERP\packages\pos-shared\lib\storage.js	11	25	
        if (localStorage.getItem(REMEMBER_KEY) === '1') return localStorage;	D:\Rutba\ERP\packages\pos-shared\lib\storage.js	7	25	
        if (sessionStorage.getItem(REMEMBER_KEY) === '1') return sessionStorage;	D:\Rutba\ERP\packages\pos-shared\lib\storage.js	8	27	
                return localStorage.getItem(REMEMBER_KEY) === '1';	D:\Rutba\ERP\packages\pos-shared\lib\storage.js	50	36	
        const raw = localStorage.getItem("branch");	D:\Rutba\ERP\packages\pos-shared\lib\utils.js	8	33	
        const raw = localStorage.getItem("branch-desk");	D:\Rutba\ERP\packages\pos-shared\lib\utils.js	16	33	
    const storedUser = storage.getJSON("user");	D:\Rutba\ERP\packages\pos-shared\lib\utils.js	28	31	
    let time = Date.now() - fixDate.getTime();	D:\Rutba\ERP\packages\pos-shared\lib\utils.js	93	36	
        return storage.getJSON("branch");	D:\Rutba\ERP\packages\pos-shared\lib\utils.js	11	23	
        return storage.getJSON("branch-desk");	D:\Rutba\ERP\packages\pos-shared\lib\utils.js	19	23	
    return storage.getJSON("cash-register");	D:\Rutba\ERP\packages\pos-shared\lib\utils.js	24	19	
            const res = await authApi.get("/app-accesses", { populate: ["users"] });	D:\Rutba\ERP\pos-auth\pages\app-access.js	26	38	
            const rt = storage.getItem("refreshToken");	D:\Rutba\ERP\pos-auth\pages\authorize.js	38	31	
        authApi.get("/app-accesses"),	D:\Rutba\ERP\pos-auth\pages\users\access-assignment.js	39	16	
        authApi.get("/auth-admin/users"),	D:\Rutba\ERP\pos-auth\pages\users\access-assignment.js	38	16	
            const data = await authApi.get("/auth-admin/users");	D:\Rutba\ERP\pos-auth\pages\users\index.js	20	39	
            const aaRes = await authApi.get("/app-accesses");	D:\Rutba\ERP\pos-auth\pages\users\new.js	35	40	
            const rolesRes = await authApi.get("/auth-admin/roles");	D:\Rutba\ERP\pos-auth\pages\users\new.js	32	43	
                authApi.get("/app-accesses"),	D:\Rutba\ERP\pos-auth\pages\users\[id].js	41	24	
                authApi.get("/auth-admin/roles"),	D:\Rutba\ERP\pos-auth\pages\users\[id].js	40	24	
                authApi.get(`/auth-admin/users/${id}`),	D:\Rutba\ERP\pos-auth\pages\users\[id].js	39	24	
    const openedMs = new Date(register.opened_at).getTime();	D:\Rutba\ERP\pos-sale\components\CashRegisterGuard.js	10	50	
            const res = await authApi.get(`/cash-registers/active?${params.toString()}`);	D:\Rutba\ERP\pos-sale\components\CashRegisterGuard.js	86	38	
    return (Date.now() - new Date(register.opened_at).getTime()) / (60 * 60 * 1000);	D:\Rutba\ERP\pos-sale\components\CashRegisterGuard.js	16	54	
            const res = await authApi.get(`/customers?${qs}`);	D:\Rutba\ERP\pos-sale\components\CustomerSelect.js	96	38	
            const res = await authApi.get(`/customers?${qs}`);	D:\Rutba\ERP\pos-sale\components\form\customer-form.js	47	38	
        snapshotBranch.current = { ...getBranchPrintSettings() };	D:\Rutba\ERP\pos-sale\components\print\SaleInvoicePrint.js	47	38	
                oneWeekAgo.setDate(oneWeekAgo.getDate() - 7);	D:\Rutba\ERP\pos-sale\pages\cash-register-history.js	48	46	
            const res = await authApi.get(`/cash-registers/active?${params.toString()}`);	D:\Rutba\ERP\pos-sale\pages\cash-register.js	122	38	
    return (Date.now() - new Date(register.opened_at).getTime()) / (60 * 60 * 1000);	D:\Rutba\ERP\pos-sale\pages\cash-register.js	12	54	
                const saleIdsParam = urlParams.get('saleIds');	D:\Rutba\ERP\pos-sale\pages\print-combined-invoice.js	17	47	
                const saleId = urlParams.get('saleId');	D:\Rutba\ERP\pos-sale\pages\print-invoice.js	24	41	
                const storageKey = urlParams.get('key');	D:\Rutba\ERP\pos-sale\pages\print-invoice.js	25	45	
        const storageKey = urlParams.get('key');	D:\Rutba\ERP\pos-sale\pages\print-invoice.js	96	37	
                    const storedData = JSON.parse(localStorage.getItem(storageKey) || '{}');	D:\Rutba\ERP\pos-sale\pages\print-invoice.js	56	63	
                const response = await api.get("/branches?populate[0]=desks&populate[1]=currency");	D:\Rutba\ERP\pos-sale\pages\settings.js	13	43	
        oneWeekAgo.setDate(oneWeekAgo.getDate() - 7);	D:\Rutba\ERP\pos-sale\pages\[documentId]\cash-register-detail.js	161	38	
            const res = await authApi.get(`/payments/${documentId}`, {	D:\Rutba\ERP\pos-sale\pages\[documentId]\payment.js	27	38	
            const response = await authApi.get('/suppliers');	D:\Rutba\ERP\pos-stock\components\form\purchase-form.js	38	43	
                        authApi.get(`/stock-items/${id}`, { populate: ['product'] })	D:\Rutba\ERP\pos-stock\components\print\BulkBarcodePrint.js	58	32	
                const storedData = JSON.parse(localStorage.getItem(storageKey) || '{}');	D:\Rutba\ERP\pos-stock\components\print\BulkBarcodePrint.js	53	59	
            authApi.getAll("/brands"),	D:\Rutba\ERP\pos-stock\components\ProductPickerModal.js	105	20	
            authApi.getAll("/categories"),	D:\Rutba\ERP\pos-stock\components\ProductPickerModal.js	106	20	
            authApi.getAll("/purchases", { sort: ["createdAt:desc"] }),	D:\Rutba\ERP\pos-stock\components\ProductPickerModal.js	109	20	
            authApi.getAll("/suppliers"),	D:\Rutba\ERP\pos-stock\components\ProductPickerModal.js	107	20	
            authApi.getAll("/term-types", { populate: ["terms"] }),	D:\Rutba\ERP\pos-stock\components\ProductPickerModal.js	108	20	
                const res = await authApi.get("/products", {	D:\Rutba\ERP\pos-stock\components\ProductPickerModal.js	73	42	
            const res = await authApi.get("/me/stock-items-search", {	D:\Rutba\ERP\pos-stock\pages\archive-stock.js	90	38	
            const res = await authApi.get(`/branches/${selectedBranch}/archive-stats`);	D:\Rutba\ERP\pos-stock\pages\archive-stock.js	60	38	
        d.setMonth(d.getMonth() - 6);	D:\Rutba\ERP\pos-stock\pages\archive-stock.js	52	21	
            authApi.getAll('/brands'),	D:\Rutba\ERP\pos-stock\pages\bulk-stock-inputs.js	131	20	
            authApi.getAll('/categories'),	D:\Rutba\ERP\pos-stock\pages\bulk-stock-inputs.js	132	20	
            authApi.getAll('/suppliers'),	D:\Rutba\ERP\pos-stock\pages\bulk-stock-inputs.js	133	20	
            const res = await authApi.get('/stock-inputs', {	D:\Rutba\ERP\pos-stock\pages\bulk-stock-inputs.js	145	38	
            const res = await authApi.get(ep.path, ep.params);	D:\Rutba\ERP\pos-stock\pages\orphan-stock-items.js	60	38	
            const res = await authApi.get(ep.path, ep.params);	D:\Rutba\ERP\pos-stock\pages\orphan-stock-items.js	188	38	
            if (!map.get(key).groupCount) map.get(key).groupCount = map.get(key).items.length;	D:\Rutba\ERP\pos-stock\pages\orphan-stock-items.js	401	21	
                map.get(extraKey).groupCount = Math.max(map.get(extraKey).groupCount || 0, extraItems.length);	D:\Rutba\ERP\pos-stock\pages\orphan-stock-items.js	407	20	
                map.get(extraKey).items = extraItems;	D:\Rutba\ERP\pos-stock\pages\orphan-stock-items.js	406	20	
            map.get(key).items.push(item);	D:\Rutba\ERP\pos-stock\pages\orphan-stock-items.js	400	16	
                const key = urlParams.get('key');	D:\Rutba\ERP\pos-stock\pages\print-bulk-barcodes.js	17	38	
                const titleParam = urlParams.get('title');	D:\Rutba\ERP\pos-stock\pages\print-bulk-barcodes.js	18	45	
            authApi.getAll("/brands"),	D:\Rutba\ERP\pos-stock\pages\products-bulk-edit.js	128	20	
            authApi.getAll("/categories"),	D:\Rutba\ERP\pos-stock\pages\products-bulk-edit.js	129	20	
            authApi.getAll("/purchases", { sort: ["createdAt:desc"] }),	D:\Rutba\ERP\pos-stock\pages\products-bulk-edit.js	132	20	
            authApi.getAll("/suppliers"),	D:\Rutba\ERP\pos-stock\pages\products-bulk-edit.js	130	20	
            authApi.getAll("/term-types", { populate: ["terms"] }),	D:\Rutba\ERP\pos-stock\pages\products-bulk-edit.js	131	20	
                    const res = await authApi.get('/stock-items', {	D:\Rutba\ERP\pos-stock\pages\products-bulk-edit.js	98	46	
        const res = await authApi.get('/stock-items', {	D:\Rutba\ERP\pos-stock\pages\products-bulk-edit.js	301	34	
            authApi.getAll("/term-types", { populate: ["terms"] }),	D:\Rutba\ERP\pos-stock\pages\products.js	136	20	
            authApi.getAll(brandsEp.path, brandsEp.params),	D:\Rutba\ERP\pos-stock\pages\products.js	133	20	
            authApi.getAll(catsEp.path, catsEp.params),	D:\Rutba\ERP\pos-stock\pages\products.js	134	20	
            authApi.getAll(purchEp.path, purchEp.params),	D:\Rutba\ERP\pos-stock\pages\products.js	137	20	
            authApi.getAll(suppEp.path, suppEp.params),	D:\Rutba\ERP\pos-stock\pages\products.js	135	20	
                const res = await authApi.get("/products", {	D:\Rutba\ERP\pos-stock\pages\products.js	239	42	
                //const savedBranch = utils.branch//.getItem("branch");	D:\Rutba\ERP\pos-stock\pages\settings.js	20	53	
                //const savedDesk = utils.getItem("branch-desk");	D:\Rutba\ERP\pos-stock\pages\settings.js	21	42	
                const response = await api.get(ep.path, ep.params);	D:\Rutba\ERP\pos-stock\pages\settings.js	15	43	
            const purchasesRes = await authApi.get('/purchases', {	D:\Rutba\ERP\pos-stock\pages\stock-entry.js	24	47	
            const response = await authApi.get(ep.path, ep.params);	D:\Rutba\ERP\pos-stock\pages\stock-items.js	120	43	
    const ctx = canvas.getContext('2d');	D:\Rutba\ERP\pos-stock\pages\[documentId]\catalogue-import.js	22	23	
    const ctx = canvas.getContext('2d');	D:\Rutba\ERP\pos-stock\pages\[documentId]\catalogue-import.js	38	23	
            const doc = await pdfjsLib.getDocument({ data: arrayBuffer }).promise;	D:\Rutba\ERP\pos-stock\pages\[documentId]\catalogue-import.js	142	39	
    const page = await pdfDoc.getPage(pageNum);	D:\Rutba\ERP\pos-stock\pages\[documentId]\catalogue-import.js	17	30	
    const page = await pdfDoc.getPage(pageNum);	D:\Rutba\ERP\pos-stock\pages\[documentId]\catalogue-import.js	33	30	
            const res = await authApi.get(`/products/${id}`, {	D:\Rutba\ERP\pos-stock\pages\[documentId]\catalogue-import.js	86	38	
    const viewport = page.getViewport({ scale });	D:\Rutba\ERP\pos-stock\pages\[documentId]\catalogue-import.js	18	26	
    const viewport = page.getViewport({ scale });	D:\Rutba\ERP\pos-stock\pages\[documentId]\catalogue-import.js	34	26	
            const response = await authApi.get(`${endpoint}?pagination[page]=${page}&pagination[pageSize]=100`);	D:\Rutba\ERP\pos-stock\pages\[documentId]\product-stock-items.js	92	43	
                ...getTermForm(termId),	D:\Rutba\ERP\pos-stock\pages\[documentId]\product-variants.js	137	19	
            const res = await authApi.get(`/products/${id}`, { populate: { variants: { populate: ['terms'] }, items: true, terms: true } });	D:\Rutba\ERP\pos-stock\pages\[documentId]\product-variants.js	58	38	
            'api::media-library.media-library.getFile',	D:\Rutba\ERP\pos-strapi\config\app-access-permissions.js	930	46	
            'api::media-library.media-library.getFile',	D:\Rutba\ERP\pos-strapi\config\app-access-permissions.js	955	46	
            'api::media-library.media-library.getFiles',	D:\Rutba\ERP\pos-strapi\config\app-access-permissions.js	929	46	
            'api::media-library.media-library.getFiles',	D:\Rutba\ERP\pos-strapi\config\app-access-permissions.js	954	46	
            'api::media-library.media-library.getFolder',	D:\Rutba\ERP\pos-strapi\config\app-access-permissions.js	925	46	
            'api::media-library.media-library.getFolder',	D:\Rutba\ERP\pos-strapi\config\app-access-permissions.js	950	46	
            'api::media-library.media-library.getFolders',	D:\Rutba\ERP\pos-strapi\config\app-access-permissions.js	924	46	
            'api::media-library.media-library.getFolders',	D:\Rutba\ERP\pos-strapi\config\app-access-permissions.js	949	46	
      handler: 'api::auth-admin.auth-admin.getUser',	D:\Rutba\ERP\pos-strapi\src\api\auth-admin\routes\01-custom-auth-admin.js	16	43	
    if (isNaN(parsedDate.getTime())) {	D:\Rutba\ERP\pos-strapi\src\api\branch\controllers\archive.js	39	25	
      .getToken(ctx);	D:\Rutba\ERP\pos-strapi\src\api\cash-register\controllers\cash-register.js	40	7	
  const openedMs = new Date(register.opened_at).getTime();	D:\Rutba\ERP\pos-strapi\src\api\cash-register\controllers\cash-register.js	26	48	
    const allowed = optionMap.get(appKey);	D:\Rutba\ERP\pos-strapi\src\api\hr-team\controllers\hr-team.js	13	30	
        const file = await strapi.service('api::media-library.media-library').getFileById(Number(id));	D:\Rutba\ERP\pos-strapi\src\api\media-library\controllers\media-library.js	95	78	
        const folder = await strapi.service('api::media-library.media-library').getFolderById(Number(id));	D:\Rutba\ERP\pos-strapi\src\api\media-library\controllers\media-library.js	30	80	
        const folders = await strapi.service('api::media-library.media-library').getFolders(	D:\Rutba\ERP\pos-strapi\src\api\media-library\controllers\media-library.js	22	81	
        const result = await strapi.service('api::media-library.media-library').getFiles({	D:\Rutba\ERP\pos-strapi\src\api\media-library\controllers\media-library.js	78	80	
        const tree = await strapi.service('api::media-library.media-library').getFolderTree();	D:\Rutba\ERP\pos-strapi\src\api\media-library\controllers\media-library.js	16	78	
            handler: 'media-library.getFile',	D:\Rutba\ERP\pos-strapi\src\api\media-library\routes\media-library.js	66	36	
            handler: 'media-library.getFiles',	D:\Rutba\ERP\pos-strapi\src\api\media-library\routes\media-library.js	60	36	
            handler: 'media-library.getFolder',	D:\Rutba\ERP\pos-strapi\src\api\media-library\routes\media-library.js	34	36	
            handler: 'media-library.getFolders',	D:\Rutba\ERP\pos-strapi\src\api\media-library\routes\media-library.js	28	36	
                    const shipment = await easypostService.getRates(	D:\Rutba\ERP\pos-strapi\src\api\sale-order\controllers\sale-order.js	154	59	
    //   handler: 'api::sale-order.sale-order.getMyOrder',	D:\Rutba\ERP\pos-strapi\src\api\sale-order\routes\01-custom-sale-order.js	39	46	
    //   handler: 'api::sale-order.sale-order.getOrderById',	D:\Rutba\ERP\pos-strapi\src\api\sale-order\routes\01-custom-sale-order.js	44	46	
    //   handler: 'api::sale-order.sale-order.getOrderWithCode',	D:\Rutba\ERP\pos-strapi\src\api\sale-order\routes\01-custom-sale-order.js	34	46	
      handler: 'api::sale-order.sale-order.getMessages',	D:\Rutba\ERP\pos-strapi\src\api\sale-order\routes\01-custom-sale-order.js	105	43	
      handler: 'api::sale-order.sale-order.getMessages',	D:\Rutba\ERP\pos-strapi\src\api\sale-order\routes\01-custom-sale-order.js	111	43	
                    const { rates = [] } = await easypostService.getRates(	D:\Rutba\ERP\pos-strapi\src\api\sale-order\services\delivery-cost-calculator.js	92	65	
      .getToken(ctx);	D:\Rutba\ERP\pos-strapi\src\api\sale\controllers\cancel.js	25	7	
      .getToken(ctx);	D:\Rutba\ERP\pos-strapi\src\api\sale\controllers\search-by-item-price.js	23	7	
      .getToken(ctx);	D:\Rutba\ERP\pos-strapi\src\api\sale\controllers\search-by-stock-item.js	22	7	
      map.get(key).count += 1;	D:\Rutba\ERP\pos-strapi\src\api\stock-item\controllers\stock-item.js	63	10	
            const advanced = await pluginStore.get({ key: 'advanced' });	D:\Rutba\ERP\pos-strapi\src\index.js	306	47	
        const departmentDocumentId = departmentByName.get(departmentName);	D:\Rutba\ERP\pos-strapi\src\index.js	83	54	
    if (accessCache.has(userId)) return accessCache.get(userId);	D:\Rutba\ERP\pos-strapi\src\middlewares\app-access-guard.js	109	52	
  const year = new Date().getFullYear();	D:\Rutba\ERP\pos-strapi\src\seed\accounting-seed.js	133	26	
      .getToken(ctx);	D:\Rutba\ERP\pos-strapi\src\utils\ensure-user.js	19	7	
        authApi.get("/acc-accounts?sort=code:asc", {}, jwt)	D:\Rutba\ERP\rutba-accounts\pages\chart-of-accounts.js	14	16	
        authApi.get("/acc-expenses?sort=date:desc", {}, jwt)	D:\Rutba\ERP\rutba-accounts\pages\expenses.js	14	16	
        authApi.get("/acc-invoices?sort=date:desc", {}, jwt)	D:\Rutba\ERP\rutba-accounts\pages\invoices.js	14	16	
        authApi.get("/acc-journal-entries?sort=date:desc", {}, jwt)	D:\Rutba\ERP\rutba-accounts\pages\journal-entries.js	14	16	
        authApi.get("/site-setting", { status: "draft", populate: ["site_logo"] })	D:\Rutba\ERP\rutba-cms\components\Navigation.js	17	16	
                    authApi.getAll("/brands"),	D:\Rutba\ERP\rutba-cms\components\ProductPickerTabs.js	75	28	
                    authApi.getAll("/categories"),	D:\Rutba\ERP\rutba-cms\components\ProductPickerTabs.js	76	28	
                    authApi.getAll("/purchases", { sort: ["createdAt:desc"] }),	D:\Rutba\ERP\rutba-cms\components\ProductPickerTabs.js	79	28	
                    authApi.getAll("/suppliers"),	D:\Rutba\ERP\rutba-cms\components\ProductPickerTabs.js	77	28	
                    authApi.getAll("/term-types", { populate: ["terms"] }),	D:\Rutba\ERP\rutba-cms\components\ProductPickerTabs.js	78	28	
                authApi.get("/brand-groups", {	D:\Rutba\ERP\rutba-cms\pages\brand-groups.js	98	24	
                authApi.get("/brand-groups", { status: 'published', fields: ["documentId"], pagination: { pageSize: 200 } }),	D:\Rutba\ERP\rutba-cms\pages\brand-groups.js	104	24	
                authApi.get("/categories", { status: 'published', fields: ["documentId"], pagination: { pageSize: 500 } }),	D:\Rutba\ERP\rutba-cms\pages\categories.js	109	24	
                authApi.get("/categories", params),	D:\Rutba\ERP\rutba-cms\pages\categories.js	108	24	
                authApi.get("/category-groups", {	D:\Rutba\ERP\rutba-cms\pages\category-groups.js	98	24	
                authApi.get("/category-groups", { status: 'published', fields: ["documentId"], pagination: { pageSize: 200 } }),	D:\Rutba\ERP\rutba-cms\pages\category-groups.js	104	24	
            const res = await authApi.get("/delivery-methods", {	D:\Rutba\ERP\rutba-cms\pages\delivery-methods.js	17	38	
                authApi.get("/cms-footers", {	D:\Rutba\ERP\rutba-cms\pages\footers.js	157	24	
                authApi.get("/cms-footers", { status: 'published', fields: ["documentId"], pagination: { pageSize: 200 } }),	D:\Rutba\ERP\rutba-cms\pages\footers.js	162	24	
                    const existing = await authApi.get("/cms-footers", {	D:\Rutba\ERP\rutba-cms\pages\footers.js	189	51	
                const file = items[i].getAsFile();	D:\Rutba\ERP\rutba-cms\pages\media.js	267	38	
            const res = await authApi.get('/media-library/files', params);	D:\Rutba\ERP\rutba-cms\pages\media.js	146	38	
            const res = await authApi.get('/media-library/files/' + id);	D:\Rutba\ERP\rutba-cms\pages\media.js	246	38	
            const res = await authApi.get('/media-library/folders/tree');	D:\Rutba\ERP\rutba-cms\pages\media.js	60	38	
            try { ids = JSON.parse(e.dataTransfer.getData('text/plain')); } catch (_e) { ids = []; }	D:\Rutba\ERP\rutba-cms\pages\media.js	324	50	
      const res = await authApi.get("/notification-templates", {	D:\Rutba\ERP\rutba-cms\pages\notification-templates.js	17	32	
                authApi.get("/product-groups", {	D:\Rutba\ERP\rutba-cms\pages\product-groups.js	18	24	
                authApi.get("/product-groups", { status: 'published', fields: ["documentId"], pagination: { pageSize: 200 } }),	D:\Rutba\ERP\rutba-cms\pages\product-groups.js	24	24	
            authApi.getAll("/brands"),	D:\Rutba\ERP\rutba-cms\pages\products.js	197	20	
            authApi.getAll("/categories"),	D:\Rutba\ERP\rutba-cms\pages\products.js	198	20	
            authApi.getAll("/purchases", { sort: ["createdAt:desc"] }),	D:\Rutba\ERP\rutba-cms\pages\products.js	201	20	
            authApi.getAll("/suppliers"),	D:\Rutba\ERP\rutba-cms\pages\products.js	199	20	
            authApi.getAll("/term-types", { populate: ["terms"] }),	D:\Rutba\ERP\rutba-cms\pages\products.js	200	20	
                        const pubRes = await authApi.get("/products", {	D:\Rutba\ERP\rutba-cms\pages\products.js	234	53	
